	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
SCYL3	375.676599604355	-0.473456955940058	0.0999651427849697	-4.73622047395549	2.17740709203353e-06	5.15992801608107e-05	SCYL3
NFYA	647.826617662288	-0.375747126778552	0.0969155288166334	-3.87705800470299	0.000105727159051979	0.00133510638966154	NFYA
NIPAL3	1320.02930692409	-0.47785059283877	0.120687082374685	-3.95941788828099	7.51326706074634e-05	0.00100411123205019	NIPAL3
CYP51A1	69.1972703359743	0.575758599447389	0.183267665045777	3.14162675288941	0.00168012067524539	0.0126363824013529	CYP51A1
MYH16	1.40648057402992	3.19406417842531	0.780150751411349	4.09416279180276	4.23696554209266e-05	0.000625644384192929	MYH16
BAD	251.766955773054	0.237592484854905	0.0895419003358335	2.65342240854613	0.00796800874540881	0.0424474142465261	BAD
CD99	3951.16708531504	0.559544441314728	0.0981821408510396	5.69904502452905	1.20480406072695e-08	5.88092480472783e-07	CD99
ICA1	83.3414614070539	0.898156462023163	0.189910643854746	4.72936347217126	2.25224851290658e-06	5.31158286932261e-05	ICA1
TFPI	32.0558869732171	1.97531100285403	0.334430850363447	5.90648560295	3.49482822654212e-09	1.9673472689069e-07	TFPI
NDUFAF7	300.733510334658	-0.336650421618126	0.0979588628956896	-3.43665097436466	0.000588954013894646	0.00553628077360658	NDUFAF7
RBM5	1801.21463008003	-0.450242468726624	0.0806501458737909	-5.58266155440322	2.36865408736399e-08	1.06663541044237e-06	RBM5
ARF5	1776.61967535319	0.273754714493832	0.0777476429262267	3.52106770302468	0.00042981286114328	0.00426835110668985	ARF5
SARM1	142.837508441485	-0.419197722044667	0.149565757696946	-2.80276534214506	0.00506665190109639	0.0298483492609698	SARM1
POLDIP2	1851.90455429386	0.419007150422112	0.0680300732729032	6.15914595213299	7.3138297574239e-10	4.80798405865551e-08	POLDIP2
CD38	769.610023812581	1.52782500975973	0.232686636269793	6.5660195800341	5.16780237214208e-11	4.49277729897618e-09	CD38
CCDC132	383.332922355093	-0.448484029285865	0.103472403578624	-4.33433469963884	1.4620159563533e-05	0.000261163154270162	CCDC132
NDUFAB1	760.848718327454	0.503170472032756	0.0872439629620943	5.76739587415777	8.05057936719421e-09	4.11419608182612e-07	NDUFAB1
SLC22A16	115.238440806376	1.77146353485861	0.518275401551931	3.41799655077999	0.000630839063785753	0.00584769901872062	SLC22A16
SLC25A13	259.616055805034	0.257560968283708	0.0916362686411444	2.81068808347423	0.00494356855118745	0.0293112917426641	SLC25A13
ST7	217.503834354952	0.499990404944326	0.108539017593356	4.60654993964982	4.09404772229474e-06	8.87849389812774e-05	ST7
CDC27	539.469814953828	0.234558384514822	0.0908555062284574	2.58166394368022	0.0098325277851867	0.0497039100236902	CDC27
SLC4A1	97.4945982018818	5.45028245368114	1.20593573492502	4.51954635378643	6.19722784540982e-06	0.000126199265583761	SLC4A1
UPF1	1678.171407998	-0.343157724727206	0.0758291036978378	-4.52540921615814	6.0278753436971e-06	0.000123263129418608	UPF1
SKAP2	1814.59157600218	0.58275255089831	0.16932001522103	3.44172276465713	0.000578022320291683	0.00545095824190344	SKAP2
ACSM3	105.595901457437	-0.756896216718347	0.290667032453289	-2.60399746861551	0.00921434373448369	0.0473694000416031	ACSM3
AC004381.6	27.1964007605299	0.918408861201478	0.274029614416133	3.35149492202989	0.000803765130372708	0.0070948147659964	AC004381.6
PRKAR2B	904.932522245289	1.53273487303067	0.262366208796704	5.84196753103341	5.15878628300603e-09	2.79172992497481e-07	PRKAR2B
CROT	190.090160705827	-0.565068235718365	0.132556078027972	-4.26286175726415	2.01825388147118e-05	0.00033960758269454	CROT
SOX8	31.1970835501253	-1.05643293430963	0.389281090909514	-2.71380490596495	0.00665153256748452	0.0370110366399418	SOX8
MYCBP2	1605.85887440835	-0.206423736889192	0.076906120488323	-2.68410024557843	0.00727252965760991	0.0396333983658878	MYCBP2
FBXL3	837.711880337454	-0.871263280243469	0.144484995283013	-6.03012983138395	1.63828011006352e-09	9.92595072870446e-08	FBXL3
ZFX	1205.04124741531	-0.434354934883764	0.157125705858736	-2.76437857516625	0.00570313289241856	0.0328061296261946	ZFX
