	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	ensembl	external_gene	gene_biotype	description	chromosome_name	start_position	end_position	strand
ENSG00000240184	43402.9063539399	-5.22327421422262	0.198521247124325	-26.3109077234011	1.43876803515794e-152	3.15147750420995e-148	PCDHGC3	ENSG00000240184	PCDHGC3	protein_coding	protocadherin gamma subfamily C, 3 [Source:HGNC Symbol;Acc:HGNC:8716]	5	141475947	141512977	1
ENSG00000182168	2811.36324489772	5.20478857161388	0.229846182161624	22.6446596705007	1.57483983818477e-113	1.72476459077996e-109	UNC5C	ENSG00000182168	UNC5C	protein_coding	unc-5 netrin receptor C [Source:HGNC Symbol;Acc:HGNC:12569]	4	95162504	95549206	-1
ENSG00000179909	749.832493469526	-6.78670747065573	0.33117793429165	-20.4926318088543	2.50480387046106e-93	1.82884079928597e-89	ZNF154	ENSG00000179909	ZNF154	protein_coding	zinc finger protein 154 [Source:HGNC Symbol;Acc:HGNC:12939]	19	57697367	57709194	-1
ENSG00000287080	910.018354053949	-6.99412823271022	0.348710341245745	-20.0571288127681	1.74895533517235e-89	9.57727941540377e-86	NA	ENSG00000287080	HIST1H3C	protein_coding	histone cluster 1 H3 family member c [Source:HGNC Symbol;Acc:HGNC:4768]	6	26045411	26045869	1
ENSG00000196747	1209.10844075825	-6.54875636498348	0.329597489215169	-19.8689510062023	7.5565465660377e-88	3.31037191964979e-84	HIST1H2AI	ENSG00000196747	HIST1H2AI	protein_coding	histone cluster 1 H2A family member i [Source:HGNC Symbol;Acc:HGNC:4725]	6	27808199	27808701	1
ENSG00000185686	4766.29225750541	3.57447055661564	0.195284124836452	18.3039484628318	7.69635116065766e-75	2.80968126371742e-71	PRAME	ENSG00000185686	PRAME	protein_coding	preferentially expressed antigen in melanoma [Source:HGNC Symbol;Acc:HGNC:9336]	22	22547701	22559361	-1
ENSG00000124575	3825.24542372682	-5.22190756901148	0.298441906054889	-17.497233006048	1.50400371548496e-68	4.70624248342608e-65	HIST1H1D	ENSG00000124575	HIST1H1D	protein_coding	histone cluster 1 H1 family member d [Source:HGNC Symbol;Acc:HGNC:4717]	6	26234268	26234933	-1
ENSG00000261857	2346.13742125123	4.37821177378709	0.252082437528292	17.3681745412975	1.43726057098779e-67	3.93521944336456e-64	MIA	ENSG00000261857	MIA	protein_coding	MIA SH3 domain containing [Source:HGNC Symbol;Acc:HGNC:7076]	19	40771648	40777490	1
ENSG00000240764	3546.44086552838	-4.63804862859514	0.267709741317201	-17.3249154318209	3.0514366749781e-67	7.42651876985782e-64	PCDHGC5	ENSG00000240764	PCDHGC5	protein_coding	protocadherin gamma subfamily C, 5 [Source:HGNC Symbol;Acc:HGNC:8718]	5	141489121	141512979	1
ENSG00000175471	1216.32634068257	3.7175566223335	0.21782001065471	17.0671032985422	2.6082390211037e-65	5.60817250542886e-62	MCTP1	ENSG00000175471	MCTP1	protein_coding	multiple C2 and transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26183]	5	94703741	95284575	-1
ENSG00000196767	493.866918859142	-7.97524889448691	0.467410579833073	-17.0626195439032	2.81637589297468e-65	5.60817250542886e-62	POU3F4	ENSG00000196767	POU3F4	protein_coding	POU class 3 homeobox 4 [Source:HGNC Symbol;Acc:HGNC:9217]	X	83508290	83512127	1
ENSG00000102010	355.977972072992	5.05616483197547	0.326974052560647	15.4635048022278	6.11773182967979e-54	1.11668998331088e-50	BMX	ENSG00000102010	BMX	protein_coding	BMX non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1079]	X	15464246	15556529	1
ENSG00000185130	367.151586297615	-5.57344422222734	0.367601704749899	-15.1616386709068	6.34658938451575e-52	1.06935149137256e-48	HIST1H2BL	ENSG00000185130	HIST1H2BL	protein_coding	histone cluster 1 H2B family member l [Source:HGNC Symbol;Acc:HGNC:4748]	6	27807444	27807931	-1
ENSG00000152661	942.91843341424	3.91436751687555	0.258995746786884	15.1136362872264	1.3166875167463e-51	2.06005166905793e-48	GJA1	ENSG00000152661	GJA1	protein_coding	gap junction protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:4274]	6	121435595	121449727	1
ENSG00000154188	892.397414215141	-3.19391771004109	0.214211088653999	-14.9101418143671	2.83150540309096e-50	4.13475295662029e-47	ANGPT1	ENSG00000154188	ANGPT1	protein_coding	angiopoietin 1 [Source:HGNC Symbol;Acc:HGNC:484]	8	107249482	107498055	-1
