	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	ensembl	external_gene	gene_biotype	description	chromosome_name	start_position	end_position	strand
ENSG00000133110	10799.0243710832	-8.77414965751972	0.348599924558702	-25.1696831794415	8.60577465507769e-140	1.77855544796491e-135	POSTN	ENSG00000133110	POSTN	protein_coding	periostin [Source:HGNC Symbol;Acc:HGNC:16953]	13	37562583	37598844	-1
ENSG00000138759	3138.06502849503	6.38674226395447	0.344151585698161	18.5579335658095	7.03594115534039e-77	7.270589792871e-73	FRAS1	ENSG00000138759	FRAS1	protein_coding	Fraser extracellular matrix complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19185]	4	78057323	78544269	1
ENSG00000080200	738.690290114183	-2.62665469145465	0.180070591481259	-14.5868054847147	3.40785403915394e-48	2.34767064757315e-44	CRYBG3	ENSG00000080200	CRYBG3	protein_coding	crystallin beta-gamma domain containing 3 [Source:HGNC Symbol;Acc:HGNC:34427]	3	97822011	97944984	1
ENSG00000255819	346.761303491183	4.99355813603979	0.347351010830757	14.3761151697723	7.30832990104335e-47	3.77603135162157e-43	NA	ENSG00000255819	KLRC4-KLRK1	protein_coding	KLRC4-KLRK1 readthrough [Source:HGNC Symbol;Acc:HGNC:48357]	12	10372353	10410146	-1
ENSG00000165949	7591.07511311362	4.15087712481989	0.313152984960402	13.2551095604111	4.2150090786161e-40	1.74223185255518e-36	IFI27	ENSG00000165949	IFI27	protein_coding	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	14	94104836	94116698	1
ENSG00000156265	1774.85196009011	-4.95145131833325	0.381696558102402	-12.9722189347195	1.75864449587897e-38	6.05765096605513e-35	MAP3K7CL	ENSG00000156265	MAP3K7CL	protein_coding	MAP3K7 C-terminal like [Source:HGNC Symbol;Acc:HGNC:16457]	21	29077471	29175889	1
ENSG00000129538	2354.03913501851	4.71627671076852	0.36430659398686	12.9458999332266	2.47841757654422e-38	7.31735086491992e-35	RNASE1	ENSG00000129538	RNASE1	protein_coding	ribonuclease A family member 1, pancreatic [Source:HGNC Symbol;Acc:HGNC:10044]	14	20801228	20802855	-1
ENSG00000145703	736.084746016229	3.17020299347503	0.265321990174319	11.9485120377402	6.60980529037337e-33	1.70756057420183e-29	IQGAP2	ENSG00000145703	IQGAP2	protein_coding	IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]	5	76403285	76708132	1
ENSG00000163898	225.207992316356	5.49869566948303	0.470803370825843	11.6793889131203	1.62459243679662e-31	3.73060576569731e-28	LIPH	ENSG00000163898	LIPH	protein_coding	lipase H [Source:HGNC Symbol;Acc:HGNC:18483]	3	185506262	185552588	-1
ENSG00000100342	269.524160025135	-3.55070825522523	0.305929734280321	-11.6062868605369	3.82883914779182e-31	7.91306186674135e-28	APOL1	ENSG00000100342	APOL1	protein_coding	apolipoprotein L1 [Source:HGNC Symbol;Acc:HGNC:618]	22	36253010	36267530	1
ENSG00000170955	724.060989042769	7.31827529083839	0.640676452581486	11.4227318037845	3.21952108231528e-30	6.04889474620091e-27	CAVIN3	ENSG00000170955	CAVIN3	protein_coding	caveolae associated protein 3 [Source:HGNC Symbol;Acc:HGNC:9400]	11	6318946	6320532	-1
ENSG00000181104	1240.65165138536	2.34603680772954	0.207211602523317	11.3219374743533	1.02188145448283e-29	1.75993533498305e-26	F2R	ENSG00000181104	F2R	protein_coding	coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]	5	76716126	76735770	1
ENSG00000164309	353.254014640865	-3.00917428776448	0.267303667038628	-11.2575121811914	2.12678119028701e-29	3.38109129689704e-26	CMYA5	ENSG00000164309	CMYA5	protein_coding	cardiomyopathy associated 5 [Source:HGNC Symbol;Acc:HGNC:14305]	5	79689836	79800240	1
ENSG00000141753	349.714529905864	2.75262941766417	0.245047942909053	11.2330239747647	2.80704013974801e-29	4.14379275486944e-26	IGFBP4	ENSG00000141753	IGFBP4	protein_coding	insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]	17	40443450	40457725	1
ENSG00000198865	126.469600250249	-6.81161606089175	0.609236270478915	-11.180581969516	5.0756042929233e-29	6.99316759478972e-26	CCDC152	ENSG00000198865	CCDC152	protein_coding	coiled-coil domain containing 152 [Source:HGNC Symbol;Acc:HGNC:34438]	5	42756818	42802439	1
ENSG00000172164	2329.35596703386	2.81529423415572	0.253271811273118	11.1157030069952	1.05218614944993e-28	1.35909569691761e-25	SNTB1	ENSG00000172164	SNTB1	protein_coding	syntrophin beta 1 [Source:HGNC Symbol;Acc:HGNC:11168]	8	120535745	120813273	-1
ENSG00000160932	1486.77577803544	3.08444803873285	0.281119481105858	10.9720181134347	5.20964356473451e-28	6.33339432660989e-25	LY6E	ENSG00000160932	LY6E	protein_coding	lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]	8	143017982	143023832	1
ENSG00000041982	12010.3537116211	-2.21397903588785	0.205070717343771	-10.7961734594045	3.58848791319871e-27	4.12018220567098e-24	TNC	ENSG00000041982	TNC	protein_coding	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	9	115019575	115118257	-1
ENSG00000136237	8322.14975054347	2.12756164359724	0.200952351973181	10.5873935920948	3.40953212693516e-26	3.54364091637018e-23	RAPGEF5	ENSG00000136237	RAPGEF5	protein_coding	Rap guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:16862]	7	22118236	22357154	-1
ENSG00000286700	136.073795542147	-4.37863682531264	0.413591917455912	-10.5868529836041	3.42927460818714e-26	3.54364091637018e-23	NA	ENSG00000286700	AC108075.1	lncRNA	novel transcript	4	124025295	124028268	-1
ENSG00000101938	14767.4585326824	2.2260460801121	0.21066412793429	10.566801770857	4.24732880453469e-26	4.17997830491993e-23	CHRDL1	ENSG00000101938	CHRDL1	protein_coding	chordin like 1 [Source:HGNC Symbol;Acc:HGNC:29861]	X	110673856	110795819	-1
ENSG00000135272	462.079576516051	-4.27577221773152	0.404840197281069	-10.5616296169399	4.48801811890999e-26	4.21608502106876e-23	MDFIC	ENSG00000135272	MDFIC	protein_coding	MyoD family inhibitor domain containing [Source:HGNC Symbol;Acc:HGNC:28870]	7	114922154	115019202	1
ENSG00000091409	8049.94142557583	2.7825625604881	0.266141068826937	10.4552167493455	1.38681320532306e-25	1.24614210932224e-22	ITGA6	ENSG00000091409	ITGA6	protein_coding	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	2	172427354	172506459	1
ENSG00000148175	2194.97215388955	2.35491500273761	0.226696137480391	10.3879802669391	2.81245585561726e-25	2.42187604866841e-22	STOM	ENSG00000148175	STOM	protein_coding	stomatin [Source:HGNC Symbol;Acc:HGNC:3383]	9	121338988	121370304	-1
ENSG00000156687	2579.03533201645	3.27059089126013	0.315785712142809	10.3569945234921	3.88993128756793e-25	3.21572839680665e-22	UNC5D	ENSG00000156687	UNC5D	protein_coding	unc-5 netrin receptor D [Source:HGNC Symbol;Acc:HGNC:18634]	8	35235475	35796550	1
ENSG00000130147	2629.19231909603	1.69999440591473	0.167215493655406	10.1664885756223	2.79814704182191e-24	2.22420403512821e-21	SH3BP4	ENSG00000130147	SH3BP4	protein_coding	SH3 domain binding protein 4 [Source:HGNC Symbol;Acc:HGNC:10826]	2	234952017	235055714	1
ENSG00000049323	1461.93935187261	3.03118147317574	0.303799150309734	9.97758377561407	1.91062693344155e-23	1.46247877160876e-20	LTBP1	ENSG00000049323	LTBP1	protein_coding	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]	2	32946953	33399509	1
ENSG00000213809	278.048633613626	4.7709987137107	0.479118449867021	9.95786890493341	2.33003615726796e-23	1.71981633079489e-20	KLRK1	ENSG00000213809	KLRK1	protein_coding	killer cell lectin like receptor K1 [Source:HGNC Symbol;Acc:HGNC:18788]	12	10372353	10391874	-1
ENSG00000008256	3186.38369452101	2.22000555123622	0.226722820386456	9.79171636737825	1.22203584252477e-22	8.70890164050325e-20	CYTH3	ENSG00000008256	CYTH3	protein_coding	cytohesin 3 [Source:HGNC Symbol;Acc:HGNC:9504]	7	6161776	6272644	-1
ENSG00000140450	1143.66505061602	-1.40048469135065	0.144319775348923	-9.70403874288668	2.89794964216799e-22	1.99639750848953e-19	ARRDC4	ENSG00000140450	ARRDC4	protein_coding	arrestin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28087]	15	97960703	97973833	1
ENSG00000164125	978.41059446101	-2.59459728538339	0.269709477883202	-9.61997073943016	6.58498928938012e-22	4.39006366592319e-19	FAM198B	ENSG00000164125	GASK1B	protein_coding	golgi associated kinase 1B [Source:HGNC Symbol;Acc:HGNC:25312]	4	158124474	158173318	-1
ENSG00000073331	200.743682401736	-3.05482262906605	0.318268849676218	-9.59824573524487	8.13165923008059e-22	5.25178129087736e-19	ALPK1	ENSG00000073331	ALPK1	protein_coding	alpha kinase 1 [Source:HGNC Symbol;Acc:HGNC:20917]	4	112285509	112442621	1
ENSG00000162772	319.262240632373	2.53200882579762	0.264086172067785	9.5878129701835	8.99718636857923e-22	5.63469244483112e-19	ATF3	ENSG00000162772	ATF3	protein_coding	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	1	212565334	212620777	1
ENSG00000127955	312.234819935791	-3.29388032255159	0.347513406402423	-9.47842662143877	2.58145911827698e-21	1.56914751757148e-18	GNAI1	ENSG00000127955	GNAI1	protein_coding	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	7	79768028	80226181	1
ENSG00000159200	2631.47971964933	-1.47029451730463	0.157228225131766	-9.35133953253269	8.65446087325491e-21	5.04482012514015e-18	RCAN1	ENSG00000159200	RCAN1	protein_coding	regulator of calcineurin 1 [Source:HGNC Symbol;Acc:HGNC:3040]	21	34513142	34615113	-1
ENSG00000163191	743.533206072696	2.21778023766735	0.237276286573074	9.3468263082596	9.03170971259426e-21	5.04482012514015e-18	S100A11	ENSG00000163191	S100A11	protein_coding	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	1	152032506	152047907	-1
ENSG00000188906	898.436255152696	-2.66994576949646	0.285651338996982	-9.34686943485557	9.0280290321303e-21	5.04482012514015e-18	LRRK2	ENSG00000188906	LRRK2	protein_coding	leucine rich repeat kinase 2 [Source:HGNC Symbol;Acc:HGNC:18618]	12	40196744	40369285	1
ENSG00000138829	1247.54001896451	3.30563297736657	0.354577991550081	9.32272463644907	1.13390348524439e-20	6.16694298145943e-18	FBN2	ENSG00000138829	FBN2	protein_coding	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	5	128257909	128659185	-1
ENSG00000095303	1641.9503072074	4.12280782309956	0.444495675254627	9.27524845036531	1.77205564513609e-20	9.39053179949425e-18	PTGS1	ENSG00000095303	PTGS1	protein_coding	prostaglandin-endoperoxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:9604]	9	122370530	122395703	1
ENSG00000178209	3596.31902767465	1.31103214544201	0.141478406929241	9.2666589474513	1.92067988878484e-20	9.92367281537905e-18	PLEC	ENSG00000178209	PLEC	protein_coding	plectin [Source:HGNC Symbol;Acc:HGNC:9069]	8	143915147	143976734	-1
ENSG00000168453	582.655765794252	2.7723093908545	0.299939294392018	9.24290162272341	2.39901532414981e-20	1.20927926107815e-17	HR	ENSG00000168453	HR	protein_coding	HR lysine demethylase and nuclear receptor corepressor [Source:HGNC Symbol;Acc:HGNC:5172]	8	22114419	22133384	-1
ENSG00000137501	1575.91055199513	-2.46576816108618	0.267970146970216	-9.20165245630979	3.52486773023365e-20	1.7344866995414e-17	SYTL2	ENSG00000137501	SYTL2	protein_coding	synaptotagmin like 2 [Source:HGNC Symbol;Acc:HGNC:15585]	11	85694224	85811159	-1
ENSG00000123496	419.616046523225	2.31065477232482	0.251383405966254	9.19175537240914	3.8648217296182e-20	1.85754117874463e-17	IL13RA2	ENSG00000123496	IL13RA2	protein_coding	interleukin 13 receptor subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:5975]	X	115003975	115019977	-1
