	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	ensembl	external_gene	gene_biotype	description	chromosome_name	start_position	end_position	strand
ENSG00000285565	56.6620072122194	9.8500929546906	1.41996536088032	6.93685439522552	4.00926669179674e-12	9.45224715257999e-08	NA	ENSG00000285565	AL671762.1	lncRNA	novel transcript	6	31828834	31839719	1
ENSG00000183395	94.6709890461093	10.5883436125784	1.58967138344344	6.66071222194531	2.72503762967042e-11	3.21227435785549e-07	PMCH	ENSG00000183395	PMCH	protein_coding	pro-melanin concentrating hormone [Source:HGNC Symbol;Acc:HGNC:9109]	12	102196459	102197833	-1
ENSG00000111700	48.8137984013962	4.7710370490518	0.828744635111182	5.75694471724904	8.56499443256431e-09	6.73094362473788e-05	SLCO1B3	ENSG00000111700	SLCO1B3	protein_coding	solute carrier organic anion transporter family member 1B3 [Source:HGNC Symbol;Acc:HGNC:10961]	12	20810702	20916911	1
ENSG00000273637	72.6609112181788	23.4709405836741	4.32905074482352	5.4217291427548	5.90252718363029e-08	0.000347894952203169	NA	ENSG00000273637	AL139260.2	lncRNA	novel transcript	1	38839333	38874494	-1
ENSG00000263620	31.6271370447787	-21.5635177979039	4.40867015803588	-4.89116151241188	1.0024266378867e-06	0.00472664208296337	NA	ENSG00000263620	AC129492.4	protein_coding	novel protein	17	8150816	8162975	-1
ENSG00000167774	17.0995181472221	-20.7465847319455	4.40973856785131	-4.70471988593521	2.54214746887162e-06	0.00998894478768624	NA	ENSG00000167774	AC010323.1	protein_coding	novel transcript	19	8308283	8321379	-1
ENSG00000071991	17.7521011902185	6.21046831319379	1.37288730829726	4.52365483726147	6.07808169613522e-06	0.0184323068179394	CDH19	ENSG00000071991	CDH19	protein_coding	cadherin 19 [Source:HGNC Symbol;Acc:HGNC:1758]	18	66501083	66604138	-1
ENSG00000127743	177.329609985521	-3.16288232837933	0.700125267238488	-4.51759488820439	6.25460020968422e-06	0.0184323068179394	IL17B	ENSG00000127743	IL17B	protein_coding	interleukin 17B [Source:HGNC Symbol;Acc:HGNC:5982]	5	149371324	149404202	-1
ENSG00000197172	40.3980721574447	4.19508713494024	0.959354134249549	4.37282436711636	1.2264939241857e-05	0.030817735294773	MAGEA6	ENSG00000197172	MAGEA6	protein_coding	MAGE family member A6 [Source:HGNC Symbol;Acc:HGNC:6804]	X	152766136	152769747	-1
ENSG00000215183	74.0877239202326	-6.06648413257099	1.3917458948788	-4.3589021206341	1.30716556221467e-05	0.030817735294773	MSMP	ENSG00000215183	MSMP	protein_coding	microseminoprotein, prostate associated [Source:HGNC Symbol;Acc:HGNC:29663]	9	35752990	35756613	-1
ENSG00000196154	481.701148696134	2.01313817150591	0.472176599375468	4.26352804050141	2.01224235539341e-05	0.0431278416097772	S100A4	ENSG00000196154	S100A4	protein_coding	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	1	153543613	153550136	-1
ENSG00000106511	28.9976491542374	-3.86967196731147	0.916933138122895	-4.22023352240633	2.44049383047049e-05	0.0479475687893102	MEOX2	ENSG00000106511	MEOX2	protein_coding	mesenchyme homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7014]	7	15611212	15686683	-1
ENSG00000119715	21.6974206559445	4.59876908481576	1.11316023423104	4.13127323757891	3.60759457968213e-05	0.0495247974693872	ESRRB	ENSG00000119715	ESRRB	protein_coding	estrogen related receptor beta [Source:HGNC Symbol;Acc:HGNC:3473]	14	76310712	76501837	1
ENSG00000131378	65.6007571572449	2.4728103972934	0.597889126680999	4.13590126821751	3.53564194078136e-05	0.0495247974693872	RFTN1	ENSG00000131378	RFTN1	protein_coding	raftlin, lipid raft linker 1 [Source:HGNC Symbol;Acc:HGNC:30278]	3	16313574	16514026	-1
ENSG00000154864	485.621145080832	2.19136847006971	0.532099309676997	4.11834488452907	3.8160329789002e-05	0.0495247974693872	PIEZO2	ENSG00000154864	PIEZO2	protein_coding	piezo type mechanosensitive ion channel component 2 [Source:HGNC Symbol;Acc:HGNC:26270]	18	10666483	11148762	-1
ENSG00000162849	258.397317855176	2.18867206099612	0.524995007613246	4.16893880752572	3.06021128771853e-05	0.0495247974693872	KIF26B	ENSG00000162849	KIF26B	protein_coding	kinesin family member 26B [Source:HGNC Symbol;Acc:HGNC:25484]	1	245154985	245709432	1
ENSG00000189283	41.830395657789	8.92586794374914	2.12834118058579	4.19381442466496	2.74302414355045e-05	0.0495247974693872	FHIT	ENSG00000189283	FHIT	protein_coding	fragile histidine triad [Source:HGNC Symbol;Acc:HGNC:3701]	3	59747277	61251459	-1
ENSG00000228742	21.3327592860248	4.44817967814247	1.06945037507325	4.1593137763291	3.19205146595529e-05	0.0495247974693872	NA	ENSG00000228742	LINC02577	lncRNA	long intergenic non-protein coding RNA 2577 [Source:HGNC Symbol;Acc:HGNC:53749]	7	106774955	106838480	1
ENSG00000278233	1433.54761123308	2.93649238646035	0.714825132294459	4.10798704997226	3.99122477060722e-05	0.0495247974693872	RNA5-8SN2	ENSG00000278233	RNA5-8SN2	rRNA	RNA, 5.8S ribosomal N2 [Source:HGNC Symbol;Acc:HGNC:53521]	21	8212572	8212724	1
